Strategy,Event Date,Auction Series,Series,Entry Date,Exit Date,Entry Close,Exit Close,Return (%),Basket Avg Return (%),Rate (%),Forecast (%),Previous (%)
A_Auctions,2026-03-04,26246,26245,2026-03-02,2026-03-11,88.481,88.534,0.059899865507873074,-0.20887321809898163,,,
A_Auctions,2026-03-04,26246,26249,2026-03-02,2026-03-11,86.987,87.099,0.12875487141756903,-0.20887321809898163,,,
A_Auctions,2026-03-04,26218,26230,2026-03-02,2026-03-11,63.696,63.202,-0.7755589047977907,-0.20887321809898163,,,
A_Auctions,2026-03-04,26218,26238,2026-03-02,2026-03-11,60.002,59.9,-0.1699943335222276,-0.20887321809898163,,,
A_Auctions,2026-03-04,26218,26240,2026-03-02,2026-03-11,62.85,62.56,-0.46141607000795837,-0.20887321809898163,,,
A_Auctions,2026-03-04,26218,26244,2026-03-02,2026-03-11,85.899,85.869,-0.03492473719135525,-0.20887321809898163,,,
A_Auctions,2026-03-04,26218,26245,2026-03-02,2026-03-11,88.481,88.534,0.059899865507873074,-0.20887321809898163,,,
A_Auctions,2026-03-04,26218,26249,2026-03-02,2026-03-11,86.987,87.099,0.12875487141756903,-0.20887321809898163,,,
A_Auctions,2026-03-11,26254,26230,2026-03-09,2026-03-18,63.49,63.7,0.330760749724357,0.717793394971907,,,
A_Auctions,2026-03-11,26254,26238,2026-03-09,2026-03-18,59.985,60.238,0.4217721096940963,0.717793394971907,,,
A_Auctions,2026-03-11,26254,26240,2026-03-09,2026-03-18,62.858,63.281,0.6729453689267917,0.717793394971907,,,
A_Auctions,2026-03-11,26254,26244,2026-03-09,2026-03-18,86.249,87.1,0.9866781064128194,0.717793394971907,,,
A_Auctions,2026-03-11,26254,26245,2026-03-09,2026-03-18,88.658,89.299,0.7230030002932653,0.717793394971907,,,
A_Auctions,2026-03-11,26254,26249,2026-03-09,2026-03-18,86.975,87.994,1.171601034780112,0.717793394971907,,,
A_Auctions,2026-03-11,26244,26230,2026-03-09,2026-03-18,63.49,63.7,0.330760749724357,0.717793394971907,,,
A_Auctions,2026-03-11,26244,26238,2026-03-09,2026-03-18,59.985,60.238,0.4217721096940963,0.717793394971907,,,
A_Auctions,2026-03-11,26244,26240,2026-03-09,2026-03-18,62.858,63.281,0.6729453689267917,0.717793394971907,,,
A_Auctions,2026-03-11,26244,26244,2026-03-09,2026-03-18,86.249,87.1,0.9866781064128194,0.717793394971907,,,
A_Auctions,2026-03-11,26244,26245,2026-03-09,2026-03-18,88.658,89.299,0.7230030002932653,0.717793394971907,,,
A_Auctions,2026-03-11,26244,26249,2026-03-09,2026-03-18,86.975,87.994,1.171601034780112,0.717793394971907,,,
